20250320
96
[0]公司代號,[1]公司名稱,[2]股利所屬期間,[3]權利分派基準日,[4]股票股利_盈餘轉增資配股(元/股),[5]股票股利_法定盈餘公積、資本公積轉增資配股(元/股),                          [6]股票股利_除權交易日,[7]現金股利_盈餘分配之股東現金股利(元/股),[8]現金股利_法定盈餘公積、資本公積發放之現金(元/股),[9]現金股利_特別股配發現金股利(元/股),                          [10]現金股利_除息交易日,[11]現金股利_現金股利發放日,[12]現金增資總股數(股),[13]現金增資認股比率(%),[14]現金增資認購價(元/股),                          [15]公告日期,[16]公告時間,[17]普通股每股面額
1101,台泥,95年,96/08/05,0.1,0,96/07/30,1.7,0,0,96/07/30,--,0,0,0,96/07/16,14:28:59,無面額
1101A,特別股A,95年,96/08/05,0,0,--,1.04384,0,0,96/07/30,--,0,0,0,96/07/16,14:28:59,無面額
1102,亞泥,95年,96/08/15,0.8,0,96/08/09,1.5,0,0,96/08/09,--,0,0,0,96/07/26,18:31:41,無面額
1104,環泥,95年,96/08/06,1.0,0,96/07/31,0,0,0,--,--,0,0,0,96/07/17,17:37:23,無面額
1108,幸福,95年,96/08/22,0,0,--,0.45,0,0,96/08/16,--,0,0,0,96/07/31,18:30:10,無面額
1109,信大,95年,96/07/25,0,0,--,0.6,0,0,96/07/19,--,0,0,0,96/07/03,10:50:19,無面額
1110,東泥,95年,96/07/24,0,0,--,0.3,0,0,96/07/18,--,0,0,0,96/07/03,11:04:27,無面額
1210,大成,95年,96/09/02,0.49700081,0,96/08/27,0.994001,0,0,96/08/27,--,0,0,0,96/08/14,10:36:38,無面額
1215,卜蜂,95年,96/07/22,0,0,--,0.6,0,0,96/07/16,--,0,0,0,96/06/29,16:48:30,無面額
1216,統一,95年,96/08/23,0.6,0,96/08/16,0.6,0,0,96/08/16,--,0,0,0,96/07/30,15:17:05,無面額
1219,福壽,95年,96/07/04,0,0,--,0.22,0,0,96/06/28,--,0,0,0,96/06/12,16:48:39,無面額
1227,佳格,95年,96/07/25,0,0,--,1.3,0,0,96/07/19,--,0,0,0,96/06/20,14:59:12,無面額
1229,聯華,95年,96/08/17,0.39993949,0,96/08/09,0.59990925,0,0,96/08/09,--,0,0,0,96/07/25,15:21:29,無面額
1231,聯華食,95年,96/08/28,0,0,--,0.5,0,0,96/08/22,--,0,0,0,96/08/07,11:12:29,無面額
1232,大統益,95年,96/07/23,0,0,--,2.0,0,0,96/07/17,--,0,0,0,96/07/03,14:37:43,無面額
1233,天仁,95年,96/07/29,0,0.3,96/07/23,1.2,0,0,96/07/23,--,0,0,0,96/07/06,12:38:27,無面額
1234,黑松,95年,96/07/27,0,0,--,0.2,0,0,96/07/19,--,0,0,0,96/07/06,12:38:34,無面額
1235,興泰,95年,96/09/15,0.5,0.5,96/09/07,0,0,0,--,--,0,0,0,96/08/23,15:33:24,無面額
1236,宏亞,95年,96/07/27,0,0,--,0.6,0,0,96/07/19,--,0,0,0,96/07/04,11:18:38,無面額
1301,台塑,96年,96/07/09,0,0,--,4.4,0,0,96/07/03,--,0,0,0,96/06/20,09:52:26,無面額
1303,南亞,96年,96/07/17,0,0,--,5.0,0,0,96/07/11,--,0,0,0,96/06/25,12:04:20,無面額
1304,台聚,95年,96/07/25,0,0,--,0.7,0,0,96/07/19,--,0,0,0,96/07/03,11:54:05,無面額
1307,三芳,95年,96/06/28,0,0,--,1.5,0,0,96/06/22,--,0,0,0,96/06/06,09:26:34,無面額
1308,亞聚,95年,96/07/25,0,0,--,1.0,0,0,96/07/19,--,0,0,0,96/07/03,15:30:11,無面額
1310,台苯,95年,96/09/11,0.4,0,96/09/05,0.4,0,0,96/09/05,--,0,0,0,96/08/20,09:37:31,無面額
1311,福聚,95年,96/10/23,0.8,0,96/10/17,0.8,0,0,96/10/17,--,0,0,0,96/08/28,10:36:44,無面額
1313,聯成,95年,96/08/17,0.599977093,0,96/08/09,0.59997709,0,0,96/08/09,--,0,0,0,96/07/26,10:39:57,無面額
1315,達新,95年,96/07/06,0,0,--,1.0,0,0,96/06/28,--,0,0,0,96/06/12,09:04:23,無面額
1319,東陽,96年,96/08/31,0.3,0,96/08/23,0.5,0,0,96/08/23,--,0,0,0,96/08/03,16:13:39,無面額
1321,大洋,95年,96/08/04,0,0,--,0.2,0,0,96/07/27,--,0,0,0,96/07/06,08:27:53,無面額
1323,永裕,95年,96/06/30,0,0,--,0.5,0,0,96/06/23,--,0,0,0,96/06/06,09:35:49,無面額
1324,地球,95年,96/10/02,0,0,--,0.12,0,0,96/09/26,--,0,0,0,96/09/04,09:33:53,無面額
1325,恆大,95年,96/09/23,0,0,--,0.3,0,0,96/09/17,--,0,0,0,96/08/31,18:58:44,無面額
1326,台化,96年,96/07/03,0,0,--,4.8,0,0,96/06/27,--,0,0,0,96/06/12,08:59:49,無面額
1402,遠東新,95年,96/08/31,0.3,0,96/08/23,1.3,0,0,96/08/23,--,0,0,0,96/08/01,09:56:05,無面額
1409,新纖,95年,96/04/21,0,0,96/04/14,0,0,0,--,--,104575000,6.312338,10.0,96/04/12,17:07:11,無面額
1419,新紡,95年,96/09/14,0.08,0,96/09/06,0.25,0,0,96/09/06,--,0,0,0,96/08/23,14:30:31,無面額
1434,福懋,96年,96/07/23,0,0,--,1.4,0,0,96/07/17,--,0,0,0,96/07/03,15:03:08,無面額
1436,華友聯,95年,96/08/29,0,1.0,96/08/23,0,0,0,--,--,0,0,0,96/08/07,15:51:35,無面額
1440,南紡,95年,96/07/13,0,0,--,0.25,0,0,96/07/05,--,0,0,0,96/06/20,16:16:55,無面額
1447,力鵬,95年,96/08/01,0,1.0,96/07/26,0,0,0,--,--,0,0,0,96/07/11,17:52:39,無面額
14470,特別股0,95年,96/08/01,0,0,96/07/26,0,0,0,96/07/26,--,0,0,0,96/07/11,17:52:39,無面額
1451,年興,95年,96/07/18,0,0,--,1.7,0,0,96/07/12,--,0,0,0,96/06/26,16:23:38,無面額
1452,宏益,95年,96/07/11,0,0,--,0.3,0,0,96/07/05,--,0,0,0,96/06/23,14:35:12,無面額
1455,集盛,95年,96/09/10,0.18,0,96/09/04,0.12,0,0,96/09/04,--,0,0,0,96/08/20,15:35:20,無面額
1459,聯發,95年,96/07/28,0,0.1,96/07/20,0.18,0,0,96/07/20,--,0,0,0,96/07/06,14:11:19,無面額
1460,宏遠,96年,96/08/29,0,0,--,0.15,0,0,96/08/23,--,0,0,0,96/08/07,12:05:46,無面額
1465,偉全,95年,96/08/01,0,0,--,0.6,0,0,96/07/26,--,0,0,0,96/07/13,15:05:32,無面額
1467,南緯,95年,96/07/16,0,0,--,1.15,0,0,96/07/10,--,0,0,0,96/06/26,10:51:40,無面額
1473,台南,95年,96/08/03,0.009956632,0.089609765,96/07/26,3.6839559,0,0,96/07/26,--,0,0,0,96/07/09,17:00:20,無面額
1474,弘裕,95年,96/08/28,0,0,--,0.5,0,0,96/08/22,--,0,0,0,96/07/05,16:00:34,無面額
1476,儒鴻,95年,96/07/06,0,0,--,0.8,0,0,96/06/28,--,0,0,0,96/06/14,14:59:30,無面額
1476,儒鴻,96年,96/08/05,1.1,0,96/07/30,0,0,0,--,--,25000000,13.0763,16.0,96/07/13,15:02:31,無面額
1477,聚陽,95年,96/07/17,0,0,--,4.63699,0,0,96/07/11,--,0,0,0,96/06/27,17:16:47,無面額
1477,聚陽,95年,96/08/01,0,0.49329,96/07/26,0,0,0,--,--,0,0,0,96/07/11,17:50:08,無面額
1503,士電,95年,96/07/08,0,0,--,1.2,0,0,96/07/02,--,0,0,0,96/06/13,17:46:25,無面額
1504,東元,95年,96/07/29,0,0,--,0.69842741,0,0,96/07/23,--,0,0,0,96/07/06,16:27:26,無面額
1512,瑞利,95年,96/08/05,0,0,--,0.5,0,0,96/07/30,--,0,0,0,96/07/12,15:55:33,無面額
