20241226
106
[0]公司代號,[1]公司名稱,[2]股利所屬期間,[3]權利分派基準日,[4]股票股利_盈餘轉增資配股(元/股),[5]股票股利_法定盈餘公積、資本公積轉增資配股(元/股),                          [6]股票股利_除權交易日,[7]現金股利_盈餘分配之股東現金股利(元/股),[8]現金股利_法定盈餘公積、資本公積發放之現金(元/股),[9]現金股利_特別股配發現金股利(元/股),                          [10]現金股利_除息交易日,[11]現金股利_現金股利發放日,[12]現金增資總股數(股),[13]現金增資認股比率(%),[14]現金增資認購價(元/股),                          [15]公告日期,[16]公告時間,[17]普通股每股面額
1101,台泥,105年,106/07/31,0,0,--,1.45,0,0,106/07/25,106/08/25,0,0,0,106/07/10,08:51:20,新台幣10.0000元
1101,台泥,105年,106/07/31,0,0,--,1.45,0,0,106/07/25,106/08/25,0,0,0,106/07/10,14:41:07,新台幣10.0000元
1102,亞泥,105年,106/09/05,0,0,--,0.9,0,0,106/08/30,106/09/27,0,0,0,106/08/11,18:12:21,新台幣10.0000元
1103,嘉泥,105年,106/08/30,0,0,--,0.2,0,0,106/08/24,106/09/15,0,0,0,106/08/10,11:08:57,新台幣10.0000元
1104,環泥,105年,106/07/22,0.3,0,106/07/14,1.2,0,0,106/07/14,106/08/18,0,0,0,106/06/29,15:59:16,新台幣10.0000元
1108,幸福,105年,106/08/01,0,0,--,0.6,0,0,106/07/26,106/08/15,0,0,0,106/07/10,17:56:15,新台幣10.0000元
1109,信大,105年,106/07/09,0,0,--,0.1,0,0,106/07/03,106/07/28,0,0,0,106/06/19,09:07:56,新台幣10.0000元
1110,東泥,105年,106/07/28,0,0,--,0.1,0,0,106/07/20,106/08/11,0,0,0,106/07/05,16:52:35,新台幣10.0000元
1203,味王,105年,106/09/05,0,0,--,1.0,0,0,106/08/30,106/10/05,0,0,0,106/08/14,15:22:36,新台幣10.0000元
1210,大成,105年,106/09/04,0,0,--,1.5,0,0,106/08/29,106/09/29,0,0,0,106/08/11,16:56:43,新台幣10.0000元
1215,卜蜂,105年,106/07/09,0,0,--,3.0,0,0,106/07/03,106/07/28,0,0,0,106/06/16,15:15:00,新台幣10.0000元
1216,統一,105年,106/08/11,0,0,--,2.1,0,0,106/08/03,106/09/08,0,0,0,106/07/10,10:57:36,新台幣10.0000元
1218,泰山,106年,106/12/03,0,0,106/11/27,0,0,0,--,--,146663000,31.13105887,16.3,106/11/20,18:42:28,新台幣10.0000元
1219,福壽,105年,106/07/28,0.1,0,106/07/20,0.3,0,0,106/07/20,106/08/22,0,0,0,106/07/05,09:39:06,新台幣10.0000元
1220,台榮,105年,106/07/15,0,0,--,0.65,0,0,106/07/07,106/08/10,0,0,0,106/06/20,16:13:12,新台幣10.0000元
1225,福懋油,105年,106/08/15,0,0,--,1.25,0,0,106/08/09,106/09/08,0,0,0,106/07/25,15:57:34,新台幣10.0000元
1227,佳格,105年,106/08/27,0.4,0,106/08/21,1.6,0,0,106/08/21,106/09/25,0,0,0,106/08/03,17:02:02,新台幣10.0000元
1229,聯華,105年,106/09/02,0.5,0,106/08/25,1.6,0,0,106/08/25,106/09/22,0,0,0,106/08/10,10:34:08,新台幣10.0000元
